phase angle,iQR
000,0.3316633228798818
005,0.3341709916142229
010,0.3364271508556424
015,0.33917015999669814
020,0.3417996660067646
025,0.3440020308515973
030,0.34631698457247345
035,0.3487086924964049
040,0.35052127229240315
045,0.35213005921209434
050,0.35418066926161296
055,0.3562311764831047
060,0.35773655974702234
065,0.3585789262459767
070,0.3598103489542384
075,0.3604366836593772
080,0.3616061168765584
085,0.3619393543050888
090,0.36270300307061243
095,0.3619221647719604
100,0.3611291826636107
105,0.36177516011605876
110,0.3626516650597069
115,0.3627452624500198
120,0.3626494583922765
125,0.36211482089980124
130,0.3621559609739384
135,0.36198074425284216
140,0.36200229129174033
145,0.36175733974367097
150,0.36186282433317973
155,0.3617579966884967
160,0.36133634767056333
165,0.36136708814886215
170,0.3625518276094951
